School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
4444,DAILEKH,65006,CHAMUNDA MA VI HADAKOT,29.9,45,34.3,24.1,38.8,42.2,43,42,0,0,28,0,28,14,66.67
4445,DAILEKH,65007,HIMALAYA MA VI DADIMADI,22.7,45.1,8,21.6,45,44.9,14,14,0,0,0,0,0,14,0
4446,DAILEKH,65008,JANA KALYAN MA VI SHERMAKOT,28.4,44.8,20.2,16.9,35.8,37.5,32,32,0,0,5,1,6,26,18.75
4447,DAILEKH,65009,JWALA MA VI BESTADA,40.1,55.7,45.8,31.4,41.3,47,23,23,0,3,16,2,21,2,91.3
4448,DAILEKH,65010,JAYA JANATA MA VI JOREBANJHA,16,34.1,11.9,12.4,37.5,32,60,56,0,0,4,0,4,52,7.14
4449,DAILEKH,65011,ARANIKO MA VI MALU CHAURATHA,30,47,30.4,23.4,37.3,30.9,8,8,0,0,3,1,4,4,50
4450,DAILEKH,65012,DEVI MA VI BINAYAK,31.9,51.1,24.8,26.7,47.5,53.5,44,44,0,4,12,0,16,28,36.36
4451,DAILEKH,65013,TRIVENI SANGAM MA VI CHUPRA,19.2,38.6,18.1,15.1,42.6,38.5,47,45,0,1,5,0,6,39,13.33
4452,DAILEKH,65014,SARASWOTI MA VI KHADAKWADA,27.7,45.3,16.8,28.3,39.5,58.5,6,6,0,0,1,0,1,5,16.67
4453,DAILEKH,65015,ADARSHA MA VI GUMNEKHALI,32.5,46.7,29.5,24.6,38,40,24,22,0,0,13,2,15,7,68.18
4454,DAILEKH,65016,JAYDEV MA VI JAMBUKANDH,29,40.9,24.6,21.7,41.4,37.8,56,56,0,3,16,0,19,37,33.93
4455,DAILEKH,65017,PANCHA DEWAL MA VI RAWATKOT,17.1,39.4,4.2,11.5,37.9,35.2,37,37,0,0,0,0,0,37,0
4456,DAILEKH,65018,JAYANTI MA VI KHARIGAIRA,24.5,41.1,9.8,23.4,35.9,31.2,17,17,0,0,0,0,0,17,0
4457,DAILEKH,65019,RAINA DEVI MA VI TATAMAKHU,28.1,46,19.9,18.6,30.7,31.1,20,20,0,1,4,0,5,15,25
4458,DAILEKH,65020,PANCHA KOSI JWALA MA VI GAMAUDI,20.3,40.6,9.8,16.5,38.9,46.5,27,27,0,0,2,0,2,25,7.41
4459,DAILEKH,65021,BHAGAWATI MA VI KANSHIKANDH,15.3,33.6,5.6,11.1,28.4,28.5,33,32,0,0,2,0,2,30,6.25
4460,DAILEKH,65022,BHAWANI MA VI BANHAKOT,35,45,33,25.3,47.4,41.5,21,21,0,2,10,0,12,9,57.14
4461,DAILEKH,65023,SHREE KRISHNA MA VI LAKANDRA,26.5,41.4,13.9,21.9,32.5,39.5,19,19,0,0,2,0,2,17,10.53
4462,DAILEKH,65024,PARVATI MA VI GOGANPANI,20.8,44.4,12.5,15,29.4,31.3,31,31,0,0,2,0,2,29,6.45
4463,DAILEKH,65025,MAHENDRA MA VI SOTA,17.6,37.2,6.3,12.5,25.2,25.5,16,16,0,0,1,0,1,15,6.25
4464,DAILEKH,65026,JAGADISH MA VI AIRADI,26.3,38.8,17.4,29.5,34.7,29.8,11,11,0,0,1,1,2,9,18.18
4465,DAILEKH,65027,BHAIRAB MA VI KHORA,24.2,40.3,19.5,21.9,27.6,30.8,32,32,0,0,4,1,5,27,15.63
4466,DAILEKH,65028,MALIKA MA VI BANSI,20.7,48.8,5.8,18.6,39.3,39.1,12,12,0,0,0,0,0,12,0
4467,DAILEKH,65029,BASHANT MA VI KIMUGAUN,30.6,40.2,18.7,20.3,32.3,30.7,31,31,0,0,5,1,6,25,19.35
4468,DAILEKH,65030,LAXMI MA VI RATIKHOLA,23.4,44.7,14.7,22.8,40,46.7,28,28,0,0,3,0,3,25,10.71
4469,DAILEKH,65031,SARASWATI MA VI SINGAUDI,19.2,39.4,9.9,18.2,32.9,41.1,9,9,0,0,0,0,0,9,0
4470,DAILEKH,65032,DHULESHWOR SANSKRIT MA VI CHAGATRA,31,56,13,16,37,38.5,2,2,0,0,0,0,0,2,0
4471,DAILEKH,65033,JANA JYOTI MA VI RAKAM KARNALI,26.6,45.5,13.6,21.6,29.8,35.8,33,32,0,0,4,0,4,28,12.5
4472,DAILEKH,65035,SHANTI MA VI LALIKANDA,37,52.2,23.8,26.2,40.2,38.8,5,5,0,0,2,0,2,3,40
4473,DAILEKH,65036,PHOOLBARI VIDHYAMANDIR DAILEKH BAZAR,37.8,54.2,35.8,27.6,44.8,33.2,5,5,0,0,3,0,3,2,60
4474,DAILEKH,65038,SARASWATI MA VI TARTANG,32.4,42.5,19.7,22.2,32.5,33.8,18,18,0,1,3,0,4,14,22.22
4475,DAILEKH,65039,LAXMI MA VI SATTALA,39.9,52,17.1,27.4,35.6,44.4,8,8,0,0,1,0,1,7,12.5
4476,DAILEKH,65040,PIPAL CHAUTARA MA VI DANDAPARAJUL,25.1,39.6,13.6,12.1,27.2,31.2,34,34,0,0,4,0,4,30,11.76
4477,SURKHET,66000,PRIVATE SURKHET,36.8,41,15.8,13.6,29,40.2,5,5,0,0,0,0,0,5,0
4478,SURKHET,66001,ANAND MA VI GUMI,19,45.1,23.1,23,31.9,37.2,69,69,0,0,10,2,12,57,17.39
4479,SURKHET,66002,JANA MA VI BIRENDRANAGAR,39,46.6,32.5,27.5,42.6,45,192,192,0,28,61,9,98,94,51.04
4480,SURKHET,66003,JANATA MA VI VIDYAPUR,33.2,47.2,36.3,30.6,40.1,41.9,28,28,0,2,13,2,17,11,60.71
4481,SURKHET,66004,BHANU MA VI BAJEDICHAUR,17.7,39.1,7.2,10.5,27.6,34.2,37,35,0,0,2,0,2,33,5.71
4482,SURKHET,66005,JIVANJYOTI MA VI DASHARATHPUR,38.9,57.5,30.3,27.1,45,44.8,55,55,0,9,14,0,23,32,41.82
4483,SURKHET,66006,AMAR JYOTI MA VI NEWARE BIRENDRANAGAR,37.4,53.1,29,26.8,41.8,42.3,90,90,0,9,29,1,39,51,43.33
4484,SURKHET,66007,SURYAJYOTI MA VI MEHELKUNA,31.9,49.9,29.7,27.3,33.3,41.6,41,41,0,4,15,1,20,21,48.78
4485,SURKHET,66008,JANASEWA MA VI SAHARE,23.1,40.9,11,16.7,27.7,41,98,97,0,0,6,0,6,91,6.19
4486,SURKHET,66009,JANAKALYAN MA VI KAPRICHAUR,13.6,38.1,4.6,8.1,24.4,33.3,29,28,0,0,1,0,1,27,3.57
4487,SURKHET,66010,SARASWATI MA VI SIRUPATA,23.1,41.5,8.9,17.3,39.7,43.1,35,34,0,0,2,0,2,32,5.88
4488,SURKHET,66011,ADARSHA MA VI GARPAN MEHELI,25.3,45.6,17.9,19.9,49.1,47.2,9,9,0,0,2,0,2,7,22.22
4489,SURKHET,66012,HIMALAYA MA VI CHOLPA,16.4,43.9,7.8,12.6,28.2,38.5,44,44,0,0,3,0,3,41,6.82
4490,SURKHET,66013,KRISHNA SANSKRIT TATHA SADHARAN MA VI ITRAM,34.4,46.9,22.6,25.8,40.6,37.5,79,77,0,4,21,1,26,51,33.77
4491,SURKHET,66014,SHIVA MA VI LATIKOILI,31.1,46.1,20.5,20.7,38.2,33.7,58,58,0,3,7,1,11,47,18.97
4492,SURKHET,66015,JAGANNATH MA VI BIJAURA,37.9,49.9,45.6,32.1,43.8,44.3,9,9,0,2,5,1,8,1,88.89
4493,SURKHET,66016,SHARADA MA VI CHHINCHU,39.8,53.6,34.2,28.3,39.1,51.3,55,55,1,11,15,0,27,28,49.09
4494,SURKHET,66017,SURYA PRAKASH MA VI PALAINTE,31.8,43.4,16.9,20.3,39,41.7,47,47,0,1,7,1,9,38,19.15
