School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
1,TAPLEJUNG,1000,PRIVATE TAPLEJUNG,16.6,28.2,11.4,19.2,27.2,34.4,15,15,0,0,1,0,1,14,6.67
2,TAPLEJUNG,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,17.8,41.7,22.1,29.5,44.8,41.9,34,34,0,2,4,0,6,28,17.65
3,TAPLEJUNG,1002,BHANUJAN MA VI AMBITAR,24.9,39.6,16.6,23,42.7,31.7,101,100,0,3,12,0,15,85,15
4,TAPLEJUNG,1003,MOTI MA VI KHOKLING,20.6,34.3,10.9,15.3,35.6,31.6,27,27,0,0,2,0,2,25,7.41
5,TAPLEJUNG,1004,SINAM MA VI SINAM,24.1,46.1,25.7,29.8,36.3,44.8,64,64,0,3,15,0,18,46,28.13
6,TAPLEJUNG,1005,GANESH MA VI KHEWANG,20.6,36.8,18.8,18.2,40.7,33.2,45,45,0,1,4,0,5,40,11.11
7,TAPLEJUNG,1006,THECHAMBU MA VI THECHAMBU,24.6,42.8,27.4,41.3,51.7,46.7,15,15,0,0,6,0,6,9,40
8,TAPLEJUNG,1007,MAIWAKHOLA MA VI TEMBE,21.5,39.6,25.2,31,42.3,43.1,65,65,0,3,12,3,18,47,27.69
9,TAPLEJUNG,1008,PRITHVI MA VI KHAMLUNG,20.3,38,15.5,25.2,39.4,34.8,19,19,0,0,0,0,0,19,0
10,TAPLEJUNG,1009,BHANJYANG MA VI LIMBUDIN,21.1,41,18.6,29.3,39.5,33.8,43,43,0,0,5,0,5,38,11.63
11,TAPLEJUNG,1010,NARAYANI MA VI SANGHU,22.6,41,15.3,30.7,37.5,31.1,44,44,0,0,9,0,9,35,20.45
12,TAPLEJUNG,1011,DURGA MA VI PHULBARI,18.6,36.3,12.7,28.9,39.5,29.5,47,47,0,0,2,1,3,44,6.38
13,TAPLEJUNG,1012,SARASWATI MA VI HANGPANG,25.2,42.9,20.4,28.4,41.5,40.9,35,35,0,0,5,1,6,29,17.14
14,TAPLEJUNG,1013,JANATA MA VI HANGDEWA,23.8,43.8,23.9,30.4,47.1,40.6,19,19,0,1,4,0,5,14,26.32
15,TAPLEJUNG,1014,SARASWATI MA VI LELEP,15.3,29.7,13.1,11.8,32.2,25.7,39,39,0,0,2,0,2,37,5.13
16,TAPLEJUNG,1015,SARASWATI MA VI SIKAICHA,25.7,43.2,19.3,30.4,39,30.1,30,30,0,2,4,0,6,24,20
17,TAPLEJUNG,1016,SANWA MA VI SANWA MEWAKHOLA,15.2,33.4,6.1,19.6,33.5,30.4,21,21,0,0,0,0,0,21,0
18,TAPLEJUNG,1017,TELLOK MA VI TELLOK,26.8,49.6,34.8,33.3,48.8,41.3,16,16,0,3,5,0,8,8,50
19,TAPLEJUNG,1018,NILGIRI MA VI MEHELE,23.4,37.8,11.8,23.6,37.9,37.1,40,40,0,0,3,0,3,37,7.5
20,TAPLEJUNG,1019,KALIKA MA VI NANGKHOLYANG,20,46.2,24,27,44.5,44,24,24,0,0,4,0,4,20,16.67
21,TAPLEJUNG,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,28.8,40,23.8,32.7,42.6,37,49,49,0,1,17,0,18,31,36.73
22,TAPLEJUNG,1021,SINWA MA VI LINGSIM SINWA,13.1,28.8,11.6,20.3,34.6,29.5,39,39,0,0,2,0,2,37,5.13
23,TAPLEJUNG,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,23.9,39.2,20.1,29.8,38.7,32.6,12,12,0,1,2,0,3,9,25
24,TAPLEJUNG,1023,CHAKSIBOTE MA VI CHAKSIBOTE,19.9,36.7,15,25.5,34.8,33.7,30,30,0,0,2,0,2,28,6.67
25,TAPLEJUNG,1024,CHANGE MA VI CHANGE,18.1,35.8,12.2,24.2,39.3,34.7,50,50,0,2,2,0,4,46,8
26,TAPLEJUNG,1025,KALIKA MA VI TIRINGA,25.5,48.1,34.2,30.7,48.4,37.2,13,13,0,0,6,0,6,7,46.15
27,TAPLEJUNG,1026,SHARADA MA VI THUMBEDIN,21.9,43.4,26.4,36.6,47,42.1,37,37,0,0,10,1,11,26,29.73
28,TAPLEJUNG,1027,AMBEGUDIN MA VI RAJA,22.3,45.2,19.6,29.3,40.4,30.2,28,28,0,0,6,0,6,22,21.43
29,TAPLEJUNG,1028,TRIBHUVAN MA VI MEWAKHOLA THUKIYA,18.3,35.1,22.4,15.6,36.3,28.6,60,60,0,0,4,1,5,55,8.33
30,TAPLEJUNG,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,23.6,38.4,17,23.8,37.5,31.1,47,47,0,1,8,1,10,37,21.28
31,TAPLEJUNG,1030,KANCHANJUNGHA BOARDING SCHOOL PHUNGLING,53.6,49.9,67.3,47.4,60.3,58.1,32,32,1,25,6,0,32,0,100
32,TAPLEJUNG,1031,PARAM SINGHA DEVI MA VI NIGURADIN,18.3,39.9,17.5,26.5,38.4,36.6,11,11,0,0,2,0,2,9,18.18
33,TAPLEJUNG,1032,MECHI ST. MARY'S ENGLISH BOARDING SCHOOL P,H 43.4,54,50.3,37.3,58.4,46.4,9,9,0,7,2,0,9,0,100
34,TAPLEJUNG,1033,SIDDHAKALI MA VI DOKHU-5,17.5,39.9,19.4,19.1,36.5,30.4,37,37,0,0,2,0,2,35,5.41
35,TAPLEJUNG,1034,MAYAM MA VI FURUMBU-5,16.3,26.8,7.3,25,29.8,29.2,24,24,0,0,0,0,0,24,0
36,PANCHTHAR,2000,PRIVATE PANCHTHAR,23.4,40.6,43.8,25.7,42.3,27.1,134,132,0,1,34,17,52,80,39.39
37,PANCHTHAR,2001,PHIDIM MA VI PHIDIM,23,42.4,30.3,26.4,39.9,37.1,105,105,0,2,32,1,35,70,33.33
38,PANCHTHAR,2002,AMARPUR MA VI DORAMBA AMARPUR,17.9,42.5,19.4,26.1,47.2,42.5,20,20,0,0,3,0,3,17,15
39,PANCHTHAR,2003,BISHNU MA VI CHYANGTHAPU,21.9,38.6,39.8,31.9,45.5,38.3,69,68,0,0,22,11,33,35,48.53
40,PANCHTHAR,2004,KHALANGATAR MA VI YANGNAM,8.8,32.7,16.5,17.7,37.8,24.9,119,116,0,0,1,0,1,115,0.86
41,PANCHTHAR,2005,SIDDHA DEVI MA VI NAWAMIDADA,15.8,34.9,16.7,25.5,35.5,41.5,51,51,0,0,1,0,1,50,1.96
42,PANCHTHAR,2006,SIDDHAKALI MA VI EAKTIN JORPATI,12.6,38.1,21,21.6,38.9,39.5,34,34,0,0,1,0,1,33,2.94
43,PANCHTHAR,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,37.3,39.9,49.5,32.8,46,45.2,90,90,0,15,46,3,64,26,71.11
44,PANCHTHAR,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,25.5,40.1,21.3,26.3,49.9,32.2,53,53,0,0,8,5,13,40,24.53
45,PANCHTHAR,2009,SIDDHESWORI MA VI BHARPA TUWA,10,34.3,22,22,42.7,33.3,66,66,0,0,2,0,2,64,3.03
46,PANCHTHAR,2010,GUPTESHWOR MA VI OYAM,20.1,35.9,38.1,30.6,40.2,36.5,39,39,0,0,7,5,12,27,30.77
47,PANCHTHAR,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,17.4,38,19.5,21,32.8,35.8,52,52,0,0,3,0,3,49,5.77
48,PANCHTHAR,2012,DURGA MA VI RAVI,12.6,36.6,11.6,23.2,40.9,26.4,48,47,0,0,0,0,0,47,0
49,PANCHTHAR,2013,PRITHIVI MA VI YASOK,18.7,37.5,18.2,20.4,33.5,37,78,78,0,0,11,1,12,66,15.38
50,PANCHTHAR,2014,INDRANI MA VI MOUWA,12.3,40.2,17.2,21.4,40.3,33,110,108,0,0,5,0,5,103,4.63
51,PANCHTHAR,2015,NILGIRI MA VI SUBHANG,15.7,37.1,28.5,26.8,45.5,36.8,42,42,0,1,5,0,6,36,14.29
52,PANCHTHAR,2016,RANITAR MA VI RANITAR,20,43.1,34.4,22.5,37.5,35.5,66,66,0,5,9,3,17,49,25.76
53,PANCHTHAR,2017,SARASWATI MA VI MACHHEBUNG,18.1,35.4,36.8,31.8,43.6,41.6,29,29,0,0,6,0,6,23,20.69
54,PANCHTHAR,2018,THARPU MA VI THARPU,14.7,36.6,15.1,27.1,45.1,45.9,84,84,0,3,4,0,7,77,8.33
55,PANCHTHAR,2019,SIRIJUNG MA VI GOPETAR,13.6,35.3,29.5,24.8,44.5,38.4,50,50,0,1,6,0,7,43,14
56,PANCHTHAR,2020,DURGA MA VI SARANGDANDA,12.3,42.9,15.5,24.3,44.6,28.4,22,22,0,0,0,0,0,22,0
57,PANCHTHAR,2021,SARASWATI MA VI CHOKMAGU,20.7,34.7,18.6,21,48.1,26.1,46,46,0,0,3,2,5,41,10.87
58,PANCHTHAR,2022,SARATAP MA VI PAUWA,26,32.5,31.1,24.8,43.3,37.5,46,46,0,0,8,3,11,35,23.91
59,PANCHTHAR,2023,KALIKA MA VI PRANGBUNG,14.6,36.2,17.3,22.4,42.7,37.9,47,47,0,0,1,0,1,46,2.13
60,PANCHTHAR,2024,JANA KALYAN MA VI KOLBUNG PHAKTEP,16,31.5,18.2,20.1,29.8,33.3,23,23,0,0,2,0,2,21,8.7
61,PANCHTHAR,2025,MECHI ENGLISH SCHOOL PHIDIM 4,53.5,44.4,59.2,42.5,58,52.5,42,42,0,27,15,0,42,0,100
62,PANCHTHAR,2026,ARUBOTE MA VI ARUBOTE,17.5,35.5,12.9,21.9,39.9,20.7,67,66,0,0,2,0,2,64,3.03
63,PANCHTHAR,2027,MAHENDRODAYA MA VI PIPALBOTE,25.2,38.3,20.9,19.9,44.1,24.5,31,31,0,0,7,0,7,24,22.58
64,PANCHTHAR,2028,SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPH,17.2,38.1,34,26.3,43.7,31.2,29,29,0,0,8,2,10,19,34.48
65,PANCHTHAR,2029,GANESH MA VI NAGI CHITTOK,12.5,32.3,13.7,22.4,42.5,39.3,60,60,0,0,1,0,1,59,1.67
66,PANCHTHAR,2030,KURUMBA MA VI KURUMBA,20.8,54.1,28.9,26.5,46.6,36.2,13,13,0,0,2,0,2,11,15.38
67,PANCHTHAR,2031,GHURBISE PANCHAMI MA VI PHAKTEP,21.9,34,15.9,17.7,39.8,18.8,92,92,0,0,8,3,11,81,11.96
68,PANCHTHAR,2032,MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUP,14.8,33.8,16.3,24.2,34.6,35.6,45,45,0,0,1,0,1,44,2.22
69,PANCHTHAR,2033,SIDDHA SARASWATI MA VI BARBHANJYANG MANGJ,28.5,37.8,28.9,25.5,44.4,28.4,8,8,0,0,2,3,5,3,62.5
70,PANCHTHAR,2034,CHANDRESHWAR MA VI KHANDRONG,19,43.2,24.7,25.2,44,32,23,23,0,0,5,0,5,18,21.74
71,PANCHTHAR,2035,VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDI,37.2,41.2,50.6,36.8,47.3,49.3,33,33,0,13,14,0,27,6,81.82
72,PANCHTHAR,2037,ITHUNG MA VI RANITAR,18.8,35,19.6,23,42.5,25.6,53,53,0,0,3,3,6,47,11.32
73,PANCHTHAR,2038,KALIKA SECONDARY SCHOOL BABUNGA NAGIN,23.6,40.6,21.5,24.7,48.1,28.2,41,41,0,0,4,2,6,35,14.63
74,PANCHTHAR,2040,SIDDHA MA VI PANCHAMI,11.1,37.9,27.2,23.9,42.7,34,42,42,0,0,1,1,2,40,4.76
75,PANCHTHAR,2041,INDRAWATI MA VI HANGUM,15.4,36.8,15.7,18.4,34.6,29.1,29,29,0,0,0,0,0,29,0
76,PANCHTHAR,2042,SIDDHA DEVI MA VI SIDIN,17.7,39.3,26.6,20.8,42,41,56,56,0,0,6,0,6,50,10.71
77,PANCHTHAR,2043,JALA SINGH MA VI PAUWA SARTAP,26.4,42.2,35.5,24.9,38.9,39.8,20,20,0,1,9,1,11,9,55
78,PANCHTHAR,2044,SARSWATI MA VI KHUNGA EAKTIN,13.9,38.4,21.4,22.7,42,36.5,31,31,0,0,3,0,3,28,9.68
79,PANCHTHAR,2045,SINGHA DEVI MA VI KURUMBA SIKTEMBA,16,35.2,9.8,19.7,37.1,21,25,25,0,0,2,0,2,23,8
80,PANCHTHAR,2046,SARBAJANIK MA VI LIMBA,24.2,44.9,25.2,26.8,44.3,34.4,13,13,0,1,3,0,4,9,30.77
81,PANCHTHAR,2047,SANTI BAL BIKASH SECONDARY ENGLISH BOARDIN,22,40.7,22.3,22,33.7,38.5,24,24,0,0,5,0,5,19,20.83
82,PANCHTHAR,2048,SINGHPUR PASHUPATI MA VI AMARPUR,12,32.4,16.8,24.1,40.9,44.8,49,49,0,0,3,0,3,46,6.12
83,PANCHTHAR,2049,SIDDHA MA VI TINGDEN RANIGAUN,23.5,38.7,29.8,27.3,44.3,27.9,17,17,0,0,7,0,7,10,41.18
84,PANCHTHAR,2051,HOLY CHILD ENGLISH SECONDARY SCHOOL RABI,22.5,38.2,19.3,25.5,44.4,29,26,26,0,0,1,0,1,25,3.85
85,PANCHTHAR,2052,JANAJYOTY SECONDARY ENGLISH BOARDING SCH,17,35.1,11.5,21.2,39,21.1,37,36,0,0,0,0,0,36,0
86,PANCHTHAR,2053,BHAGAWATI MA VI DURDIMBA,16.2,45.9,19.3,25.2,45.5,35.5,15,15,0,0,1,0,1,14,6.67
87,PANCHTHAR,2054,BUDDHA MA VI FALAICHA-3,24,43.4,36.9,34.2,49.8,42.6,25,24,0,0,14,2,16,8,66.67
88,PANCHTHAR,2055,SATYA HANGMA MA VI ENABUNG,15.5,34.8,22,27.5,35.1,41.9,19,19,0,0,4,1,5,14,26.32
89,PANCHTHAR,2056,NILAKANTHA ENGLISH BOARDING SCHOOL PHIDIM,44,43.5,51.5,33.8,46.5,46.5,4,4,0,0,4,0,4,0,100
90,ILAM,3000,PRIVATE ILAM,22,27.6,17.2,18.4,29.6,28.4,5,4,0,0,1,0,1,3,25
91,ILAM,3001,ADARSHA MA VI ILAM,28.5,45.3,24.8,28.8,50.8,31.8,112,112,0,8,26,2,36,76,32.14
92,ILAM,3002,KARFOK VIDYAMANDIR MA VI PANCHAKANYA,27.9,39.1,24,26.7,41.9,42.1,144,144,0,1,36,7,44,100,30.56
93,ILAM,3003,NAMSALING MA VI NAMSALING,26.3,45.4,22.3,28.3,41.8,34.2,68,68,0,1,14,1,16,52,23.53
94,ILAM,3004,BHANUBHAKTA MA VI MANGALBARE,32.9,49.9,14.7,26.5,37.6,39.4,135,135,0,6,15,0,21,114,15.56
95,ILAM,3005,SINGHA DEVI MA VI AMCHOK,21.4,40.5,13.3,26.9,37.9,32.4,76,75,0,3,4,2,9,66,12
96,ILAM,3006,JITPUR MA VI JITPUR,24.6,41.9,20.7,32.3,39.6,33.8,94,94,2,2,13,2,19,75,20.21
97,ILAM,3007,BOUDDHADHAM MA VI PASHUPATINAGAR,22,45.1,36.1,31.3,40,34.6,70,70,0,0,25,6,31,39,44.29
98,ILAM,3008,SARASWATI MA VI SULUBUNG,18.9,40,23.1,28.5,42.5,41.3,63,63,0,2,8,0,10,53,15.87
99,ILAM,3009,AMAR KALYAN MA VI NAYABAZAR,31.5,42.3,21.7,35.2,47.3,39.4,41,41,0,3,6,2,11,30,26.83
100,ILAM,3010,MAHENDRODAYA MA VI GAJURMUKHI,26.7,46.2,16.4,22.1,32.6,34.4,73,73,0,1,12,1,14,59,19.18
101,ILAM,3011,JANAK MA VI SHREE ANTU,25,45.4,36.4,31.9,42.8,36.8,64,64,0,0,31,4,35,29,54.69
102,ILAM,3012,CHISOPANI MA VI MIKLUNG BANJHO,21.2,36.4,11.1,18.7,34,30,25,24,0,0,2,0,2,22,8.33
103,ILAM,3013,AMAR MA VI BARBOTE,24.5,42.1,32.2,34.7,42.9,41,90,90,0,2,36,3,41,49,45.56
104,ILAM,3014,SARASWATI MA VI BATASE LAXMIPUR,22.1,36.5,22.9,24.7,39.4,40.4,145,144,0,1,32,4,37,107,25.69
105,ILAM,3015,SINGHA BAHINI MA VI SINGHANAGAR,25.9,40,10.6,26.1,42,32.5,20,20,0,0,1,0,1,19,5
106,ILAM,3016,KRISHNASHRAM MA VI KANYAM,25,46.1,26.1,37.5,47.3,42.7,55,54,0,5,11,0,16,38,29.63
107,ILAM,3017,KANKAI MA VI DANABARI,17.7,41.9,23.9,27.2,42.7,35.4,110,110,0,3,10,1,14,96,12.73
108,ILAM,3018,JANATA MA VI KANCHANPUR,20.3,35.4,18.9,16.8,37.6,25.6,169,165,0,3,13,6,22,143,13.33
109,ILAM,3019,JYOTISADAN BOARDING SCHOOL MALAPATH,36,48.8,30,31.4,50,38.9,37,37,0,5,15,1,21,15,56.76
110,ILAM,3020,FIKKAL MA VI FIKKAL,21.9,47.7,15,32.6,42.6,37.9,87,87,0,0,4,0,4,83,4.6
111,ILAM,3021,SHANTI NIKETAN MA VI KOLBUNG,27.7,53.5,22.4,40.3,49.5,40.5,41,40,0,4,7,0,11,29,27.5
112,ILAM,3022,BHAGAWATI MA VI GOLAKHARKA,26.3,42.8,19,27.6,43.2,44,41,41,0,1,5,0,6,35,14.63
113,ILAM,3023,SINGHA DEVI MA VI EKATAPPA,23.3,38.4,13,29.4,38.5,35.7,116,115,0,2,6,1,9,106,7.83
114,ILAM,3024,NEPALTAR MA VI SAKHEJUNG,20.7,42.2,26.1,26.3,48.4,46.4,80,79,0,4,15,0,19,60,24.05
115,ILAM,3025,JANATA MA VI CHISAPANI,25.1,39.4,15.8,18,39.7,37.5,28,28,0,0,1,0,1,27,3.57
116,ILAM,3026,HIMALAYA MA VI GORKHEY,21.5,38.4,13.1,26.4,39.6,34.5,61,61,0,0,0,1,1,60,1.64
117,ILAM,3027,SHYAMBAL MA VI MAIMAJHUWA,16.9,35.9,15.5,24.1,39.1,35.9,20,20,0,0,3,0,3,17,15
118,ILAM,3028,SANGRUMBA MA VI SANGRUMBA,22.1,43.8,14.3,22.1,40.8,38.8,59,59,0,1,5,0,6,53,10.17
119,ILAM,3029,PURNA SMARAK MA VI GODAK,29.3,39.8,30.9,27.2,42.5,45.2,39,39,0,1,17,3,21,18,53.85
120,ILAM,3030,MAIPOKHARI SAN MA VI MAIPOKHARI SULUBUNG,15.1,38.5,16.6,27,42.3,37.6,28,28,0,0,2,0,2,26,7.14
121,ILAM,3031,BHAGAWATI MA VI JAMUNA,18.3,38,23.1,28,46.6,41.8,39,39,0,0,7,0,7,32,17.95
122,ILAM,3032,MIKLACHONG MA VI SAKPHARA,19.3,33.2,12,14.2,35.9,25,22,21,0,0,0,0,0,21,0
123,ILAM,3033,KHANDRUNG MA VI SIDDHITHUMKA,26,43.2,21,27.9,42.6,39.1,69,69,0,2,15,0,17,52,24.64
124,ILAM,3036,PANCHAKANYA AWASIYA VIDHYA MANDIR FIKKAL-6,37.2,47.4,37.5,35,56.3,49.2,50,50,0,16,23,0,39,11,78
125,ILAM,3037,EVERLAND INTERNATIONAL ACADEMY FIKKAL,45.2,59.8,51.2,50.9,58.3,48.8,46,46,0,34,10,0,44,2,95.65
126,ILAM,3038,MOUNT MECHI AWASIYA MA VI,50.7,51.1,52.4,45.2,58.3,50.7,49,49,7,19,17,0,43,6,87.76
127,ILAM,3039,SARASWATI MA VI BHALUTAR,19,34.3,11.4,19.7,33.5,27.9,53,52,0,0,4,0,4,46,7.69
128,ILAM,3040,SARASWATI MA VI SOYANG,15.8,34.7,15.4,25.2,43.1,33.4,54,54,0,0,2,0,2,52,3.7
129,ILAM,3041,SHANTIPUR MA VI SHANTIPUR,24.8,43.5,27.6,28.8,45.7,42.8,46,46,0,3,14,2,19,27,41.3
130,ILAM,3042,BHAGAWATI MA VI DHUSENI,20.1,37.2,12.8,30,38.1,29.4,70,70,0,1,6,0,7,63,10
131,ILAM,3043,SUNAKHARI SECONDARY ENGLISH BOARDING SCH,23.4,34.4,14.7,19.3,37.3,30.8,19,19,0,0,0,0,0,19,0
132,ILAM,3044,PANCHA MA VI SHANTIDANDA-8,22.3,33.9,15.6,21.6,41.6,36.2,56,56,0,0,7,0,7,49,12.5
133,ILAM,3045,BINAPANI MA VI PUWAMAJHUWA-3,19,39.8,20,23.6,45.2,43.1,24,24,0,1,1,0,2,22,8.33
134,ILAM,3047,DAMBAR DEVI MA VI CHAMAITA,29.7,49.3,45.7,36,54.7,52,30,30,0,9,12,0,21,9,70
135,ILAM,3048,LAXMI ADARSHA MA VI MAHAMAI,25.8,40.8,18.9,27,40.8,32.6,24,24,0,1,7,0,8,16,33.33
136,ILAM,3049,ILAM VIDYA MANDIR MA VI NARAYANSTHAN,36.3,60.9,46,37.1,54.5,41.8,61,61,0,20,32,0,52,9,85.25
137,ILAM,3050,EBHANG MA VI EBHANG,27.3,48.3,13.9,27.5,44.1,37.3,33,33,0,1,5,1,7,26,21.21
138,ILAM,3051,SIDDHA BABA AWASIYA MA VI,38.9,45.8,42.7,28.5,56.8,53.1,11,11,0,5,3,0,8,3,72.73
139,ILAM,3052,MAHABHARAT BAL AWASIYA MA VI RANKAY,27.9,34.7,28.3,25.3,48.3,41.8,18,18,0,2,6,0,8,10,44.44
140,ILAM,3053,GYANODAYA MA VI JOGMAI,25.8,38.8,23.1,30.4,43.5,37.4,34,34,0,1,7,0,8,26,23.53
141,ILAM,3054,JYOTI VIDYA MANDIR MALAPATH,34,52.1,46,33.9,53.7,42,45,45,0,10,27,1,38,7,84.44
142,ILAM,3055,PRABODH MA VI MABU-5,13.2,34.9,19.8,27.5,41.7,34.7,13,13,0,0,0,0,0,13,0
143,ILAM,3056,ARUNODAYA AWASIYA MA VI LAXMIPUR,31.9,44.7,31.9,42.8,48.4,46,28,28,0,5,15,0,20,8,71.43
144,ILAM,3057,RASTRIYA MA VI KOLBOTE,22,42.6,17.5,31.4,38.6,29,28,28,0,0,5,0,5,23,17.86
145,ILAM,3058,MOTIRAM MA VI JIRMALE SALAKPUR ILAM,29,48,37.3,39.2,45.8,45.8,25,25,0,4,15,0,19,6,76
146,ILAM,3059,SAMALBUNG MA VI SAMALBUNG,24.8,47.9,44.3,31.1,39.4,41.3,31,31,0,0,16,2,18,13,58.06
147,ILAM,3061,BISHNU SECONDARY SCHOOL PHUYETAPPA ILAM,23.3,47.2,16.1,34,41.9,40,23,23,0,1,3,0,4,19,17.39
148,ILAM,3062,GREEN VALLEY ACADEMY MA VI ILAM,58.3,62.1,64.3,54.4,66.1,58.7,31,31,9,20,2,0,31,0,100
149,ILAM,3063,RHODODENDRON ILAM BODRDING SCHOOL BARBO,31.5,42.5,31.4,27.1,44.3,41.8,20,20,0,4,4,1,9,11,45
150,ILAM,3064,SUNRISE ENGLISH SCHOOL FIKKAL-6,44.4,55.6,61.6,57.4,57.6,50,17,17,0,14,3,0,17,0,100
151,ILAM,3065,PRAJNA SADAN RESIDENTIAL AND DAY ENGLISH HI,51.7,56,51,47.9,64.4,54.2,24,24,0,15,6,0,21,3,87.5
152,ILAM,3066,BAL MANDAL MA VI JASBIRE,14.8,36.5,17.2,23.7,34.9,34.3,19,18,0,0,2,0,2,16,11.11
153,ILAM,3067,PYANG MA VI PYANG-5,20.7,46.5,17.8,31.9,41.6,39.4,25,25,0,0,2,0,2,23,8
154,JHAPA,4000,PRIVATE JHAPA,24,34.8,17.4,26.4,28.8,31.9,16,16,0,0,1,0,1,15,6.25
155,JHAPA,4001,BHADRAPUR MA VI BHADRAPUR,22.5,38.1,13.1,26.6,38.8,45.5,114,114,0,3,7,1,11,103,9.65
156,JHAPA,4002,DILLIRAJ MA VI TANGANDUBBA,17.7,36.8,17,28.9,41.7,37.2,96,96,0,4,4,0,8,88,8.33
157,JHAPA,4003,MAHENDRA RATNA MA VI ANARMANI,33.6,50,40.8,32.9,46.3,46.9,88,88,0,14,53,5,72,16,81.82
158,JHAPA,4004,HIMALI MA VI PRITHIVINAGAR,26.2,42.5,22.2,28.9,51.9,32.5,68,68,0,3,12,4,19,49,27.94
159,JHAPA,4005,MOTI MA VI DHARAMPUR,19.7,40.4,24.7,27.8,40.8,32.4,40,39,0,1,6,1,8,31,20.51
160,JHAPA,4006,SAGARMATHA AWASIYA MA VI ANARMANI,34.1,35.6,23.2,21.9,42.4,36.3,20,20,0,0,5,0,5,15,25
161,JHAPA,4007,PRAGATI MA VI JUROPANI,22,46.7,30.4,34.6,53,46.8,42,42,0,3,5,0,8,34,19.05
162,JHAPA,4008,DURGA MA VI GARAMANI,26.8,45.6,28,27.6,43.3,38,83,79,0,7,30,2,39,40,49.37
163,JHAPA,4009,LITTLE FLOWER ENGLISH MA VI ANARMANI,52.5,54.2,58.3,45.5,55.1,51.2,113,113,2,79,29,0,110,3,97.35
164,JHAPA,4010,KANKAI AWASIYA ENGLISH MA VI BIRTAMOD,46.9,42.1,43.5,38,53,43.7,69,69,0,22,29,0,51,18,73.91
165,JHAPA,4011,BIRENDRA MA VI CHANDRAGADHI,29.8,43.1,29.8,31,38.5,46.6,69,69,1,6,20,0,27,42,39.13
166,JHAPA,4012,PASHUPATI MA VI RAJGADHA,17.3,39.4,20.3,25.6,39.4,36.2,63,63,0,1,9,0,10,52,15.87
167,JHAPA,4013,BANI MA VI LAKHANPUR,15.4,38.1,25.5,29.3,46,35.7,113,113,0,7,8,0,15,98,13.27
168,JHAPA,4014,JANA JAGRITI MA VI GOLDHAP,19.5,41.1,26.6,22.1,38,34.7,122,122,0,2,15,11,28,94,22.95
169,JHAPA,4015,LAKSHMI MA VI BANIYANI,18.6,43.8,22.2,20.8,56.8,36.3,66,66,0,4,5,0,9,57,13.64
170,JHAPA,4016,SIDDHARTHA BOARDING MA VI DAMAK,53.5,61,74.2,51.3,51.6,52.4,94,93,11,71,10,0,92,0,98.92
171,JHAPA,4017,NARENDRA JANTA MA VI TOPGACHHI,28.6,41.1,24.1,28.7,44.8,39.4,52,51,0,2,11,0,13,38,25.49
172,JHAPA,4018,ADARSHA MA VI BUDHABARE JAYPUR,27,41.5,32.2,35.7,50.2,39.5,103,103,0,2,52,8,62,41,60.19
173,JHAPA,4019,CHULACHULI ENGLISH BOARDING MA VI DAMAK,54.2,57,63.3,53.6,54.1,49.6,45,45,1,39,5,0,45,0,100
174,JHAPA,4020,ADARSHA VIDYAMANDIR MA VI GHAILADUBBA,15.2,33.3,13.9,23.4,42,30.8,90,90,0,0,0,0,0,90,0
175,JHAPA,4021,DHULABARI MA VI DHULABARI,23.9,50.1,34,33.3,49.7,38.1,38,37,0,2,12,1,15,22,40.54
176,JHAPA,4022,BUDDHA ADARSHA MA VI JAYPUR BUDHABARE,21.9,49.3,32.9,30,44.8,37.1,107,107,0,6,30,3,39,68,36.45
177,JHAPA,4023,BALBHADRA JANTA MA VI DHAIJAN,26.4,45,40.9,42.2,51.3,46.8,43,43,0,10,10,0,20,23,46.51
178,JHAPA,4024,BHRIKUTI MA VI DURGAPUR,24.2,45.5,22,30.5,48,40.4,62,62,0,6,12,1,19,43,30.65
179,JHAPA,4025,TRIBHUWAN MA VI PANCHGACHI,21.9,40,24.2,33.9,43.6,39.9,45,45,0,3,7,0,10,35,22.22
180,JHAPA,4026,GYANJYOTI MA VI GAURADAHA,41.4,54.3,53.9,41.6,54.8,50.9,39,39,2,19,10,0,31,8,79.49
181,JHAPA,4027,MECHI JANASADHARAN MA VI BAHUNDANGI,24.9,40.8,19,29.5,40.6,36.9,53,53,0,0,9,0,9,44,16.98
182,JHAPA,4028,SANISCHARE MA VI SANISCHARE,19.1,39.1,34.8,27.1,41.8,36,81,81,0,2,11,5,18,63,22.22
183,JHAPA,4029,KANKAI MA VI SURUNGA,26.5,42,31.8,30.8,52.8,45.5,112,111,0,11,33,3,47,64,42.34
