V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,time1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14
2,2,3,3,2,1,3,4,3,3,3,4,4,4,2,2,4,4,1,3,3,4,2,4,2,2,2,1
5,3,2,2,4,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,2,4,4,0,4,5,4,3
4,4,4,2,4,4,3,5,5,5,5,5,5,4,3,3,4,5,3,4,5,5,4,5,3,4,4,4
3,3,4,3,2,2,2,3,3,3,3,4,4,5,4,3,4,3,3,3,4,4,5,5,4,3,3,26
4,3,3,3,3,3,3,4,4,4,5,5,4,4,3,3,3,3,3,3,4,4,4,4,5,5,5,24
3,3,3,3,2,3,1,5,4,3,3,4,5,4,4,2,5,5,1,3,5,5,3,4,3,4,4,0
2,2,4,4,3,1,1,4,2,5,4,4,5,4,2,1,5,5,2,4,4,5,2,5,2,4,3,7
4,3,3,5,4,4,4,5,4,4,5,3,4,4,3,3,4,5,5,4,4,3,4,4,5,4,4,26
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,18
3,3,3,3,3,1,3,4,3,3,3,3,3,3,2,1,5,4,3,3,3,4,2,4,4,3,4,5
4,3,4,4,3,4,5,5,4,3,4,5,4,4,3,4,4,5,4,3,4,5,4,4,3,4,5,30
4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,8
4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,3,4,5,9
5,3,5,5,5,4,5,5,3,5,4,2,5,4,3,5,5,4,3,5,5,1,5,5,3,4,2,9
3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
5,3,3,3,4,4,4,5,3,5,5,5,5,5,3,3,5,4,3,4,4,3,3,5,3,5,5,6
5,5,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,3
4,4,1,2,5,1,1,4,4,4,4,3,3,3,3,1,4,4,4,5,5,2,2,5,4,1,2,5
5,5,4,4,4,5,1,4,5,5,4,5,4,4,4,4,5,4,2,3,4,4,4,5,4,5,2,4
4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,7
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,5,5,4,4,3,8
5,5,5,4,5,3,4,4,4,4,5,4,3,3,5,4,5,4,5,3,4,4,5,4,4,4,3,17
4,4,4,5,4,3,4,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,3,5,5,4,4,6
3,3,3,3,2,2,2,2,3,2,3,3,3,2,2,2,0,3,2,3,3,2,3,3,3,3,3,3
4,3,4,3,3,2,2,4,4,4,4,4,4,4,4,2,5,5,2,3,4,4,2,4,2,2,5,5
4,4,4,1,2,2,3,5,4,4,4,4,4,4,4,1,5,4,3,4,4,4,4,5,3,4,4,5
2,1,1,2,1,1,1,4,4,2,2,2,4,3,0,1,4,4,3,2,4,4,2,4,2,2,3,7
4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,15
4,4,4,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,4,4,5,5
3,2,3,4,4,3,3,2,2,3,3,4,4,3,3,2,4,3,3,3,2,2,3,3,4,4,3,4
5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,4,4,4,4,3,3,4,5,5,4,4,3,3,4,5,4,4,3,3,4,4,3,3,4,4,3,6
3,3,1,3,3,3,2,5,5,5,5,5,5,5,5,3,5,5,3,3,5,5,4,5,3,5,2,18
5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,4,4,3,5,4,4,4,20
2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,2,1,1,3,2,1,1,1,1,3,2,1,12
4,5,4,5,4,3,2,1,2,3,4,5,4,3,2,1,5,4,3,4,5,4,3,4,5,4,3,5
4,4,5,4,5,4,5,5,4,4,4,5,5,4,4,3,5,4,4,4,5,5,4,4,4,5,4,14
4,4,3,3,4,4,3,4,4,3,3,4,4,5,4,4,3,2,4,4,5,4,4,3,3,2,3,21
4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,3,4,3,1
