V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,time1
5,4,4,4,5,2,4,4,4,5,5,4,5,5,4,4,5,5,4,4,4,4,3,5,4,4,5,7
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
4,4,4,4,5,5,4,4,5,5,4,5,5,5,4,4,3,4,4,4,5,4,5,5,5,4,5,28
4,4,4,3,4,4,5,5,4,5,4,5,5,5,5,3,5,4,3,5,4,5,3,4,3,5,3,5
4,5,5,5,5,4,3,4,5,5,5,5,5,5,5,2,5,5,4,3,5,5,4,5,5,4,4,7
4,2,3,1,2,1,1,4,5,4,5,4,5,4,4,1,5,2,1,4,5,1,1,5,4,3,1,5
3,3,4,4,3,1,1,5,5,4,4,4,4,5,5,1,5,5,1,1,3,5,1,5,5,5,1,8
4,4,4,4,4,2,2,2,3,4,3,3,4,4,3,2,5,5,1,1,3,4,2,4,5,3,4,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8
2,0,2,3,3,3,4,4,3,3,2,2,4,4,4,2,4,4,2,4,2,4,2,3,2,4,2,1
3,3,3,4,3,1,1,3,3,3,3,4,4,3,2,1,4,4,1,3,3,3,4,4,3,2,4,2
5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,8
3,3,1,1,2,2,4,5,4,3,3,3,3,3,3,3,3,4,3,4,4,1,1,3,1,3,3,4
3,3,1,4,4,1,4,5,4,3,5,4,2,4,5,2,4,1,1,4,4,1,3,4,2,5,3,5
5,4,3,4,5,4,1,5,5,5,5,5,5,5,5,0,5,5,5,3,5,2,1,5,3,4,5,13
3,5,4,5,5,4,3,4,3,4,5,4,4,3,4,4,4,5,4,3,3,4,4,3,3,4,4,7
3,4,4,3,4,5,3,4,5,5,3,2,3,4,3,2,4,2,3,4,2,3,4,4,3,2,3,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25
4,3,4,3,3,4,3,4,4,4,5,4,4,4,3,3,4,4,1,0,3,3,3,4,4,3,3,4
3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,2,5,4,2,3,4,4,3,4,3,3,3,11
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24
5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,18
5,5,5,2,5,3,5,5,5,5,0,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,19
4,5,5,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,31
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27
4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,4,5,19
4,3,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,4,4,3,4,2
3,3,2,3,2,2,2,4,5,4,4,4,5,4,3,2,5,3,2,3,4,4,3,5,3,3,2,12
5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,4,4,5,5,8
4,5,1,5,4,1,1,5,4,4,4,4,4,2,2,2,5,5,4,4,4,2,3,5,3,3,2,9
4,3,3,3,3,2,2,3,3,3,4,4,3,3,3,3,4,3,2,3,3,2,3,4,3,3,4,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
3,4,5,3,4,5,2,4,3,5,4,5,5,4,4,1,5,5,3,2,3,5,3,5,4,5,3,2
2,1,3,1,2,3,2,4,4,4,3,4,2,5,4,2,4,4,3,4,5,2,4,1,2,3,3,1
5,5,5,2,2,2,3,3,3,3,3,3,4,4,4,5,2,3,3,3,3,3,4,4,4,4,4,21
5,4,4,4,3,3,2,3,3,3,4,3,3,4,4,4,3,2,2,3,2,3,3,3,4,4,0,15
2,2,2,3,2,2,2,4,3,2,2,2,2,2,2,2,3,2,2,3,4,2,2,2,2,2,2,3
